epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.9899,0.92232,2.01963,1.2027,0.00133,0.09677,0.00085,0.00033,4.6441,7.23228,4.47222,0.0806829,0.000195122,0.000195122
2,11.8685,0.92583,1.02689,1.21197,0,0,0,0,2.31118,448.001,2.81031,0.0608828,0.000395025,0.000395025
3,17.6403,0.83156,0.89615,1.09775,0.03239,0.16129,0.01906,0.01358,1.47147,4.27035,1.70257,0.0410823,0.000594541,0.000594541
4,23.4698,0.87312,0.94402,1.17596,0.82808,0.6218,0.81049,0.61343,0.93772,1.5583,1.23729,0.0212812,0.000793375,0.000793375
5,29.2722,0.86444,0.99288,1.12979,0.84371,0.34869,0.56122,0.44918,0.76587,2.11681,1.06644,0.00147904,0.000991238,0.000991238
6,34.9903,0.81408,0.92887,1.05858,0.70781,0.70344,0.7133,0.50793,1.07361,1.36726,1.31862,0.000993906,0.000993906,0.000993906
7,40.701,0.88843,0.88732,1.09583,0.8155,0.87097,0.91653,0.73272,0.7727,0.64704,1.14115,0.000991232,0.000991232,0.000991232
8,46.5147,0.84354,0.78773,1.10348,0.95946,0.90323,0.96932,0.77057,0.74583,0.61135,1.08577,0.000988079,0.000988079,0.000988079
9,52.2948,0.89719,0.79412,1.13804,0.90213,0.8923,0.96855,0.78846,0.68291,0.5329,1.0498,0.000984449,0.000984449,0.000984449
10,58.0793,0.87669,0.77084,1.11896,0.9301,0.85877,0.93767,0.76483,0.7791,0.65711,1.08519,0.000980345,0.000980345,0.000980345
11,63.7827,0.87168,0.74622,1.1115,0.92898,0.96774,0.96343,0.79501,0.76123,0.52228,1.047,0.000975773,0.000975773,0.000975773
12,69.5591,0.86358,0.75464,1.11321,0.86704,0.67742,0.80559,0.64741,0.90755,1.23132,1.19829,0.000970736,0.000970736,0.000970736
13,75.2861,0.80532,0.70665,1.06213,0.75883,0.83871,0.80273,0.6447,0.80506,1.14753,1.15089,0.000965239,0.000965239,0.000965239
14,81.0215,0.85366,0.862,1.13314,0.8942,0.70968,0.88904,0.7216,0.82064,0.75875,1.1633,0.000959289,0.000959289,0.000959289
15,86.7514,0.81484,0.89613,1.11478,0.92998,0.8571,0.91968,0.75935,0.69977,0.65733,1.03888,0.000952889,0.000952889,0.000952889
16,92.4664,0.77651,0.66161,1.05505,0.85546,0.95485,0.95657,0.7667,0.70528,0.56638,1.02798,0.000946048,0.000946048,0.000946048
17,98.1727,0.79773,0.6812,1.08927,0.83197,0.96774,0.94782,0.81343,0.63213,0.52381,1.0101,0.000938772,0.000938772,0.000938772
18,103.964,0.80161,0.70137,1.06217,0.95622,0.96774,0.98204,0.8237,0.64315,0.48946,0.9814,0.000931067,0.000931067,0.000931067
19,109.752,0.78209,0.64147,1.10493,0.90443,0.93548,0.94357,0.80188,0.64328,0.45593,1.00021,0.000922942,0.000922942,0.000922942
20,115.458,0.74649,0.63744,1.07018,0.99848,0.96774,0.99157,0.86366,0.54468,0.35905,0.95533,0.000914405,0.000914405,0.000914405
21,121.255,0.80187,0.66613,1.10343,0.91053,0.98514,0.98583,0.83961,0.60997,0.4377,0.97543,0.000905463,0.000905463,0.000905463
22,126.97,0.80417,0.61284,1.09363,0.90887,0.96525,0.97015,0.80405,0.78139,0.51314,1.0953,0.000896127,0.000896127,0.000896127
23,132.696,0.80655,0.67037,1.09514,0.98681,0.77419,0.93479,0.76671,0.74197,0.71175,1.10681,0.000886404,0.000886404,0.000886404
24,138.629,0.73705,0.63095,1.08445,1,0.92886,0.9897,0.80547,0.66978,0.47266,1.02937,0.000876305,0.000876305,0.000876305
25,144.379,0.73011,0.69057,1.05111,0.95062,0.96774,0.98657,0.84618,0.56488,0.43361,0.96984,0.000865839,0.000865839,0.000865839
26,150.117,0.76036,0.65927,1.08621,0.93688,0.95786,0.97083,0.8542,0.54356,0.44023,0.92352,0.000855018,0.000855018,0.000855018
27,155.824,0.70661,0.59779,1.04559,0.93426,1,0.9861,0.8516,0.54942,0.42777,0.93181,0.000843851,0.000843851,0.000843851
28,161.535,0.68324,0.54909,1.03086,1,0.99216,0.995,0.85348,0.58269,0.38006,0.96869,0.000832349,0.000832349,0.000832349
29,167.258,0.71629,0.55836,1.03691,0.96322,0.96774,0.97028,0.8354,0.61041,0.42478,0.97806,0.000820525,0.000820525,0.000820525
30,172.976,0.70711,0.51652,1.05221,0.89941,0.90323,0.96671,0.76733,0.67532,0.49161,0.99983,0.000808389,0.000808389,0.000808389
31,178.683,0.72227,0.50514,1.06597,1,0.96589,0.99406,0.8553,0.56949,0.39731,0.9397,0.000795954,0.000795954,0.000795954
32,184.389,0.67529,0.4838,1.02544,1,0.99916,0.995,0.9047,0.4823,0.34451,0.91134,0.000783231,0.000783231,0.000783231
33,190.182,0.70133,0.50088,1.05307,1,0.99566,0.995,0.85205,0.58929,0.42902,0.97616,0.000770234,0.000770234,0.000770234
34,195.893,0.73801,0.54613,1.06513,1,0.99041,0.995,0.89309,0.52978,0.3588,0.9395,0.000756976,0.000756976,0.000756976
35,201.602,0.73563,0.61122,1.0667,1,0.99053,0.995,0.90386,0.61199,0.4654,0.9633,0.000743468,0.000743468,0.000743468
36,207.311,0.75324,0.54201,1.05302,1,0.99777,0.995,0.87343,0.56883,0.349,0.95286,0.000729725,0.000729725,0.000729725
37,213.032,0.72314,0.51511,1.06433,0.96843,0.98987,0.99312,0.84726,0.65327,0.39841,1.00144,0.000715761,0.000715761,0.000715761
38,218.748,0.71978,0.50365,1.02907,0.99433,0.93548,0.98415,0.84012,0.59683,0.39171,0.97238,0.000701588,0.000701588,0.000701588
39,224.46,0.72298,0.49783,1.02751,0.99345,0.96774,0.99406,0.87526,0.56292,0.357,0.95226,0.000687222,0.000687222,0.000687222
40,230.175,0.67052,0.4936,1.01804,1,0.99455,0.995,0.86132,0.5315,0.32277,0.91373,0.000672675,0.000672675,0.000672675
41,235.903,0.66584,0.48412,1.01987,1,0.99864,0.995,0.90347,0.45514,0.31006,0.88616,0.000657963,0.000657963,0.000657963
42,241.633,0.66814,0.45514,1.0235,0.995,1,0.995,0.88979,0.47105,0.30763,0.8828,0.000643101,0.000643101,0.000643101
43,247.362,0.65691,0.47035,1.01528,0.99392,0.96774,0.99406,0.91318,0.4295,0.29242,0.88149,0.000628101,0.000628101,0.000628101
44,253.171,0.64521,0.48792,1.0225,0.96869,0.99819,0.99219,0.90862,0.49771,0.29121,0.90544,0.000612981,0.000612981,0.000612981
45,258.909,0.67957,0.5185,1.02455,0.99836,1,0.995,0.90064,0.48601,0.30728,0.91883,0.000597754,0.000597754,0.000597754
46,264.645,0.66048,0.48471,1.02949,0.99554,1,0.995,0.87942,0.47282,0.29486,0.8956,0.000582435,0.000582435,0.000582435
47,270.37,0.65037,0.44253,1.0066,0.99757,1,0.995,0.90736,0.45083,0.29279,0.90434,0.00056704,0.00056704,0.00056704
48,276.285,0.64375,0.45027,1.00694,1,0.99574,0.995,0.90726,0.43205,0.28724,0.87934,0.000551584,0.000551584,0.000551584
49,282.001,0.60548,0.4089,1.00652,0.96439,0.96774,0.99083,0.89981,0.4231,0.29996,0.87262,0.000536081,0.000536081,0.000536081
50,287.71,0.62286,0.43474,0.99117,0.96855,0.99369,0.99406,0.89778,0.48276,0.29878,0.8861,0.000520548,0.000520548,0.000520548
51,293.425,0.60784,0.41537,1,1,0.99681,0.995,0.89958,0.50283,0.3083,0.89349,0.000505,0.000505,0.000505
52,299.139,0.59935,0.39507,0.96674,1,0.99313,0.995,0.91749,0.50882,0.2715,0.91075,0.000489452,0.000489452,0.000489452
53,304.932,0.61675,0.42091,0.99967,0.99751,1,0.995,0.9038,0.4796,0.26513,0.90711,0.000473919,0.000473919,0.000473919
54,310.639,0.6052,0.40274,0.98078,0.99595,1,0.995,0.908,0.4646,0.28158,0.89412,0.000458416,0.000458416,0.000458416
55,316.361,0.60035,0.41159,0.98342,0.99039,1,0.995,0.91134,0.4409,0.29399,0.87734,0.00044296,0.00044296,0.00044296
56,322.069,0.58178,0.38939,0.98364,0.99603,1,0.995,0.9347,0.43842,0.28118,0.87502,0.000427565,0.000427565,0.000427565
57,327.858,0.59287,0.40395,0.96913,0.99462,1,0.995,0.93072,0.472,0.2687,0.88314,0.000412246,0.000412246,0.000412246
58,333.591,0.55441,0.37721,0.97621,1,0.99668,0.995,0.92013,0.45697,0.2612,0.88877,0.000397019,0.000397019,0.000397019
59,339.313,0.56209,0.35942,0.96871,1,0.99534,0.995,0.91881,0.45132,0.26798,0.89363,0.000381899,0.000381899,0.000381899
60,345.024,0.5426,0.36545,0.96778,0.99498,1,0.995,0.93231,0.43434,0.25546,0.8838,0.000366899,0.000366899,0.000366899
61,350.754,0.51999,0.36544,0.94848,1,0.99595,0.995,0.94068,0.39992,0.26399,0.86379,0.000352037,0.000352037,0.000352037
62,356.55,0.53277,0.34212,0.98026,1,0.99828,0.995,0.93604,0.42891,0.26814,0.87113,0.000337325,0.000337325,0.000337325
63,362.267,0.57931,0.37879,0.98416,1,0.99599,0.995,0.92459,0.445,0.25562,0.86855,0.000322778,0.000322778,0.000322778
64,367.99,0.55222,0.35148,0.96798,1,0.99636,0.995,0.9206,0.4175,0.23903,0.86316,0.000308412,0.000308412,0.000308412
65,373.705,0.50032,0.32683,0.96797,0.99705,1,0.995,0.93311,0.38635,0.24326,0.8428,0.000294239,0.000294239,0.000294239
66,379.426,0.51358,0.33242,0.96292,0.99825,1,0.995,0.93961,0.3809,0.23776,0.84096,0.000280275,0.000280275,0.000280275
67,385.135,0.51211,0.35657,0.95726,0.99808,1,0.995,0.94771,0.37446,0.22313,0.83931,0.000266532,0.000266532,0.000266532
68,390.913,0.5438,0.33828,0.99271,0.99586,1,0.995,0.92509,0.40028,0.2413,0.85086,0.000253024,0.000253024,0.000253024
69,396.641,0.48856,0.33714,0.94126,0.99787,1,0.995,0.95087,0.39345,0.23681,0.85618,0.000239766,0.000239766,0.000239766
